Time,Saudi Arabia Exports (Thousand Barrels/Day),Saudi Arabia Production (Thousand Barrels/Day),China Import (Thousand Barrels/Day),India Import (Thousand Barrels/Day),US Import (Thousand Barrels/Day),Japan Import (Thousand Barrels/Day),Korea Import (Thousand Barrels/Day),GeoPol Rating,Open (USD),Volume,U.S. Imports from Saudi Arabia (Thousand Barrels/Day),Saudi Armco Stock Price (Riyal)
Jan-20,7294,9748,10420.3742,4787.6471,6408.4839,2517.4494,2922.7994,4.5,61.6,"13,141,261",401,26.48
Feb-20,7278,9784,10591.2828,4738.91,6519.3103,3019.1586,2951.8121,4.363636,51.01,"13,979,728",455,25.62
Mar-20,7391,9733,9704.9032,4639.5339,6296.1613,2965.5929,2713.111,3.75,40.42,"14,818,195",440,24.72
Apr-20,10237,12007,9864.92,4066.5203,5543.6333,2993.4483,2742.8683,3.166667,20.1,"16,824,885",414,22.61
May-20,6020,8486,11327.1097,3472.6965,6086.871,2094.031,2543.1255,4.047619,19.04,"6,304,127",1151,22.54
Jun-20,4981,7484,12975.92,3359.983,6397.3,1790.91,2435.785,3.857143,35.21,"7,923,564",1206,24.76
Jul-20,5734,8479,12111.0581,2932.5468,5906.0323,2193.8826,2756.38,3.666667,39.84,"7,151,922",641,26.82
Aug-20,5968,8984,11211.4065,4008.0913,5432.4516,2329.6332,2507.9397,3.857143,40.39,"6,720,832",267,27.27
Sep-20,6066,8982,11829.608,3729.22,5397.5333,2129.4387,2661.307,6.111111,42.83,"7,025,110",347,29.3
Oct-20,6159,8974,10049.6516,3627.7042,5306.2581,2241.6687,2649.8716,6.6,39.9,"7,685,767",276,29.59
Nov-20,6354,8972,11067.84,4490.541,5621.8333,2126.245,2317.865,5.6,40.55,"8,108,838",273,27.81
Dec-20,6495,8980,9083.8839,4871.0945,5761.1935,2799.1735,2724.0471,5.666667,45.08,"6,658,228",111,29.46
Jan-21,6582,9103,10731.8284,4658.5532,5845.0645,2583.0661,2479.8861,5.333333,48.4,"7,574,920",207,28.93
Feb-21,5625,8147,11534.49,4010.0696,5620.7143,2513.6964,2659.7804,2,51.99,"8,065,615",258,28.64
Mar-21,5427,8138,11725.9316,4341.4055,5799.2903,2020.0932,2319.8858,6,61.95,"10,167,951",309,28.43
Apr-21,5408,8134,9847.84,4484.645,5822.0333,2581.4653,2748.5187,4.777778,59.49,"8,438,272",291,29.55
May-21,5649,8544,9673.7342,4103.1881,5868.7742,2391.6839,2611.5952,6,63.64,"8,001,095",255,29.26
Jun-21,5965,8927,9792.94,3907.3283,6647.5667,2028.4697,2672.1163,4.666667,66.68,"8,261,945",436,29.17
Jul-21,6327,9474,9737.9613,3570.6461,6394.9032,2057.181,2517.2116,5.777778,73.5,"8,643,164",338,29.01
Aug-21,6450,9562,10514.8258,4133.3813,6236.5161,2792.0413,2584.7303,6.8,61.98,"6,478,998",357,28.76
Sep-21,6516,9662,10016.2,4325.6987,6526.1333,2533.5603,2597.6793,7.285714,68.55,"8,102,078",491,28.97
Oct-21,6833,9780,8925.6774,4061.821,5971.3548,2606.8403,2746.1571,7.25,75.12,"9,725,158",353,29.67
Nov-21,6949,9912,10196.76,4513.8793,6333.6667,2886.829,2678.7493,6.666667,83.36,"10,364,108",509,31.32
