Quarter,China %,China ,India %,India,Japan %,Japan,Korea%,Korea,Saudi %,Saudi Arabia,US %,United States,OECD %,Global,GeoPol Rating,world production,world consumption
2020Q1,-6.9,20524480,2.2735,51487300,-1.818437021,137729000,1.435724735,459774200,-2.949058678,722186.6,0.820082981,5292718,-0.567013099,11792571741,4.235294,100.3,93.73
2020Q2,3.1,24834770,-21.92111,38810500,-9.865190163,126712500,-2.686169257,475617400,-4.957660407,598320.8,-8.350640156,5009931,-11.37621202,12196728179,3.538462,91.92,86.84
2020Q3,4.8,26435570,-4.83805,47328600,-4.959443855,131375200,-0.845217168,496391700,1.359321523,699582.7,-2.024010121,5411028,-3.44956681,15983671182,4.727273,90.8,92.47
2020Q4,6.4,29561880,1.01489,54579500,-0.41412717,143467900,-0.718111407,508943000,2.216717829,733426.8,-1.516619933,5609276,-2.388647553,16547924422,5.888889,92.54,93.24
2021Q1,18.7,24920020,2.29999,57580700,-1.058572845,136334100,2.36246407,484679000,-1.535258578,739044.4,1.19193505,5503213,0.15083326,16611191552,4.545455,92.81,93.98
2021Q2,8.3,28284920,22.16248,51238500,7.966179273,135980300,6.474653901,517054300,1.771834299,769954.3,12.46085441,5853320,13.68073613,18625738107,5,94.84,96.68
2021Q3,5.2,29128810,8.984,56038300,1.806972239,133536800,4.197985358,531525500,4.266683362,846435.2,4.955654481,5975139,5.067273727,23341048386,6.52381,96.75,98.47
2021Q4,4.3,32589940,4.54086,62385500,0.979173828,144223100,4.24876323,546939700,2.382212793,901763.1,5.717100091,6271538,5.363778979,24010034898,6.75,98.34,99.36
2022Q1,4.8,27150920,3.6329,65047900,0.68190986,137694200,3.095079906,512012900,2.722177061,977463.7,3.683678958,6098908,4.617787828,23965340452,6.615385,98.96,98.46
2022Q2,0.4,29391950,13.10546,65419000,1.434723754,137890400,2.962012176,544239800,1.093510707,1088078,1.796042498,6414266,3.301102327,6374527465,6.04,98.86,98.6
2022Q3,3.9,30927060,5.51228,65669500,1.520913958,135048700,3.071525756,548892500,1.232127591,1066284.4,1.942138388,6539219,2.568634667,6596918016,5.76,100.85,100.08
2022Q4,2.9,33550790,4.63865,69501200,0.461849713,146593700,1.345043666,556628700,1.307597966,1023732.5,0.881277641,6701519,1.382785377,6683655165,9.125,101.09,99.48
2023Q1,4.5,28499660,6.27858,71817400,1.849551193,143174900,1.012111697,523816200,-1.438256498,1004619.5,1.800192812,6546655,1.610116602,6557662460,5.153846,101,99.84
