Date,Production
Jan-20,9.85
Feb-20,9.75
Mar-20,9.8
Apr-20,11.6
May-20,8.55
Jun-20,7.7
Jul-20,8.4
Aug-20,8.9
Sep-20,9.01
Oct-20,9.01
Nov-20,9.01
Dec-20,9.01
Jan-21,9.1
Feb-21,8.2
Mar-21,8.15
Apr-21,8.15
May-21,8.48
Jun-21,8.95
Jul-21,9.45
Aug-21,9.55
Sep-21,9.65
Oct-21,9.8
Nov-21,9.9
Dec-21,9.9
Jan-22,10
Feb-22,10.25
Mar-22,10
Apr-22,10.3
May-22,10.25
Jun-22,10.35
Jul-22,10.6
Aug-22,10.95
Sep-22,11
Oct-22,10.5
Nov-22,10.5
Dec-22,10.5
Jan-23,9.8
Feb-23,10
Mar-23,10.25
Apr-23,10.6
May-23,9.9
Jun-23,10.05
Jul-23,9.17
Aug-23,8.7
Sep-23,9.1
