Date,U.S. Net Imports from Saudi Arabia of Crude Oil (Thousand Barrels per Day)
Jan-2020,401
Feb-2020,455
Mar-2020,440
Apr-2020,414
May-2020,1151
Jun-2020,1206
Jul-2020,641
Aug-2020,267
Sep-2020,347
Oct-2020,276
Nov-2020,273
Dec-2020,111
Jan-2021,207
Feb-2021,258
Mar-2021,309
Apr-2021,291
May-2021,255
Jun-2021,436
Jul-2021,338
Aug-2021,357
Sep-2021,491
Oct-2021,353
Nov-2021,509
Dec-2021,472
Jan-2022,485
Feb-2022,443
Mar-2022,504
Apr-2022,413
May-2022,412
Jun-2022,619
Jul-2022,458
Aug-2022,384
Sep-2022,396
Oct-2022,414
Nov-2022,440
Dec-2022,500
Jan-2023,427
Feb-2023,388
Mar-2023,427
Apr-2023,388
May-2023,303
Jun-2023,383
Jul-2023,392
Aug-2023,396
,
