Time,Saudi.Arabia.Exports..Thousand.Barrels.Day.,Saudi.Arabia.Production..Thousand.Barrels.Day.,China.Import..Thousand.Barrels.Day.,India.Import..Thousand.Barrels.Day.,US.Import..Thousand.Barrels.Day.,Japan.Import..Thousand.Barrels.Day.,Korea.Import..Thousand.Barrels.Day.,GeoPol.Rating.x,Open..USD.,Volume,U.S..Imports.from.Saudi.Arabia..Thousand.Barrels.Day.,Saudi.Armco.Stock.Price..Riyal.,Date,YearQtr,China..,India..,Saudi..,US..,OECD..,GeoPol.Rating.y,world.production,world.consumption
Jan-20,7294,9748,10420.3742,4787.6471,6408.4839,2517.4494,2922.7994,4.5,61.6,13141261,401,26.48,1/1/20,2020 Q1,-6.9,2.2735,-2.949058678,0.820082981,-0.567013099,4.235294,100.3,93.73
Feb-20,7278,9784,10591.2828,4738.91,6519.3103,3019.1586,2951.8121,4.363636,51.01,13979728,455,25.62,1/2/20,2020 Q1,-6.9,2.2735,-2.949058678,0.820082981,-0.567013099,4.235294,100.3,93.73
Mar-20,7391,9733,9704.9032,4639.5339,6296.1613,2965.5929,2713.111,3.75,40.42,14818195,440,24.72,1/3/20,2020 Q1,-6.9,2.2735,-2.949058678,0.820082981,-0.567013099,4.235294,100.3,93.73
Apr-20,10237,12007,9864.92,4066.5203,5543.6333,2993.4483,2742.8683,3.166667,20.1,16824885,414,22.61,1/4/20,2020 Q2,3.1,-21.92111,-4.957660407,-8.350640156,-11.37621202,3.538462,91.92,86.84
May-20,6020,8486,11327.1097,3472.6965,6086.871,2094.031,2543.1255,4.047619,19.04,6304127,1151,22.54,1/5/20,2020 Q2,3.1,-21.92111,-4.957660407,-8.350640156,-11.37621202,3.538462,91.92,86.84
Jun-20,4981,7484,12975.92,3359.983,6397.3,1790.91,2435.785,3.857143,35.21,7923564,1206,24.76,1/6/20,2020 Q2,3.1,-21.92111,-4.957660407,-8.350640156,-11.37621202,3.538462,91.92,86.84
Jul-20,5734,8479,12111.0581,2932.5468,5906.0323,2193.8826,2756.38,3.666667,39.84,7151922,641,26.82,1/7/20,2020 Q3,4.8,-4.83805,1.359321523,-2.024010121,-3.44956681,4.727273,90.8,92.47
Aug-20,5968,8984,11211.4065,4008.0913,5432.4516,2329.6332,2507.9397,3.857143,40.39,6720832,267,27.27,1/8/20,2020 Q3,4.8,-4.83805,1.359321523,-2.024010121,-3.44956681,4.727273,90.8,92.47
Sep-20,6066,8982,11829.608,3729.22,5397.5333,2129.4387,2661.307,6.111111,42.83,7025110,347,29.3,1/9/20,2020 Q3,4.8,-4.83805,1.359321523,-2.024010121,-3.44956681,4.727273,90.8,92.47
Oct-20,6159,8974,10049.6516,3627.7042,5306.2581,2241.6687,2649.8716,6.6,39.9,7685767,276,29.59,1/10/20,2020 Q4,6.4,1.01489,2.216717829,-1.516619933,-2.388647553,5.888889,92.54,93.24
Nov-20,6354,8972,11067.84,4490.541,5621.8333,2126.245,2317.865,5.6,40.55,8108838,273,27.81,1/11/20,2020 Q4,6.4,1.01489,2.216717829,-1.516619933,-2.388647553,5.888889,92.54,93.24
Dec-20,6495,8980,9083.8839,4871.0945,5761.1935,2799.1735,2724.0471,5.666667,45.08,6658228,111,29.46,1/12/20,2020 Q4,6.4,1.01489,2.216717829,-1.516619933,-2.388647553,5.888889,92.54,93.24
Jan-21,6582,9103,10731.8284,4658.5532,5845.0645,2583.0661,2479.8861,5.333333,48.4,7574920,207,28.93,1/1/21,2021 Q1,18.7,2.29999,-1.535258578,1.19193505,0.15083326,4.545455,92.81,93.98
Feb-21,5625,8147,11534.49,4010.0696,5620.7143,2513.6964,2659.7804,2,51.99,8065615,258,28.64,1/2/21,2021 Q1,18.7,2.29999,-1.535258578,1.19193505,0.15083326,4.545455,92.81,93.98
Mar-21,5427,8138,11725.9316,4341.4055,5799.2903,2020.0932,2319.8858,6,61.95,10167951,309,28.43,1/3/21,2021 Q1,18.7,2.29999,-1.535258578,1.19193505,0.15083326,4.545455,92.81,93.98
