Date,Open,High,Low,Close*,Adj. close**,Volume
11-Oct-23,87.75,91.39,85.18,89.65,89.65,"167,300"
4-Oct-23,90.96,91.19,83.45,87.65,87.65,"202,134"
27-Sep-23,94.16,97.63,89.52,90.92,90.92,"168,770"
20-Sep-23,94.48,94.73,91.8,93.96,93.96,"150,872"
13-Sep-23,91.93,95.95,91.63,94.34,94.34,"181,196"
6-Sep-23,89.98,92.42,89.25,92.06,92.06,"135,817"
30-Aug-23,85.63,91.18,85.13,90.04,90.04,"125,956"
23-Aug-23,83.98,85.65,81.97,85.49,85.49,"113,001"
16-Aug-23,85.12,85.87,83.05,84.03,84.03,"147,013"
9-Aug-23,86.01,88.1,84.29,84.89,84.89,"145,792"
2-Aug-23,85.73,86.71,82.37,86.17,86.17,"130,677"
26-Jul-23,83.27,85.79,82.6,84.91,84.91,"99,528"
19-Jul-23,79.8,83.88,78.67,83.64,83.64,"131,917"
12-Jul-23,79.28,81.75,78.2,79.63,79.63,"136,903"
5-Jul-23,74.94,79.5,74.78,79.4,79.4,"135,707"
28-Jun-23,72.56,76.58,71.58,74.65,74.65,"71,930"
21-Jun-23,75.5,77.24,72.09,72.26,72.26,"105,467"
14-Jun-23,74.07,77.15,72.91,75.9,75.9,"102,704"
7-Jun-23,76.07,77.66,71.57,74.29,74.29,"167,679"
31-May-23,73.65,78.72,71.55,76.29,76.29,"154,684"
24-May-23,77.59,78.66,73.16,73.54,73.54,"99,483"
17-May-23,74.68,77.74,74.09,76.84,76.84,"127,302"
10-May-23,77.25,77.6,73.49,74.91,74.91,"136,360"
3-May-23,75.27,77.49,68.2,77.44,77.44,"127,420"
26-Apr-23,81,81.47,75.09,75.32,75.32,"99,401"
19-Apr-23,84.86,85.15,80.35,80.77,80.77,"108,469"
12-Apr-23,85.55,87.49,83.82,84.77,84.77,"148,572"
5-Apr-23,85.1,85.68,83.75,85.61,85.61,"70,793"
29-Mar-23,79.02,86.24,77.85,84.94,84.94,"126,896"
22-Mar-23,75.09,79.21,72.69,78.65,78.65,"89,215"
15-Mar-23,77.57,78.71,70.13,75.32,75.32,"152,174"
8-Mar-23,82.98,84.01,76.88,77.45,77.45,"146,825"
1-Mar-23,83.1,86.76,82.36,83.29,83.29,"122,993"
22-Feb-23,82.74,84.12,80.34,83.89,83.89,"78,721"
15-Feb-23,85.29,86.2,81.79,83.05,83.05,"127,568"
8-Feb-23,84.03,86.95,83.06,85.58,85.58,"130,266"
1-Feb-23,85.52,86.2,79.09,83.69,83.69,"133,236"
25-Jan-23,86.3,88.91,83.69,84.49,84.49,"80,569"
18-Jan-23,86.72,89.1,83.74,86.13,86.13,"127,423"
11-Jan-23,79.59,86.82,79.3,85.92,85.92,"131,727"
4-Jan-23,82.23,82.67,77.61,80.1,80.1,"128,116"
