Date,Headline,Link,Rating
26/5/23,Oil&amp;Gas: Lower crude prices drags down Saudi Arabia’s total exports by 25% in March,https://www.oilandgasmiddleeast.com/news/lower-crude-prices-drags-down-saudi-arabias-total-exports-by-25-in-march,2
25/5/23,Zawya: Saudi Arabia's total exports drop 25% in March dragged by dip in oil export,https://www.zawya.com/en/economy/gcc/saudi-arabias-total-exports-drop-25-in-march-dragged-by-dip-in-oil-export-bghhoctu,2
19/5/23,Zawya: Global oil demand climbs to record high in March: JODI Data,https://www.zawya.com/en/markets/commodities/global-oil-demand-climbs-to-record-high-in-march-jodi-data-oy6m2o3v,8
19/5/23,Investing.com: Crude oil climbs; set to post first weekly gain in a month,https://www.investing.com/news/commodities-news/crude-oil-climbs-set-to-post-first-weekly-gain-in-a-month-3086722,7
19/5/23,"Arabian Business: Global oil demand rises to the highest level ever, three million barrels per day in March",https://www.arabianbusiness.com/latest-news/global-oil-demand-rises-to-the-highest-level-ever-three-million-barrels-per-day-in-march,9
18/5/23,Arab News: Saudi Arabia’s crude oil exports rise to 7.52 mbpd in March: JODI data,https://www.arabnews.com/node/2305871/business-economy,8
18/5/23,"FXStreet: Oil pulls back as US Dollar enjoys renaissance, Crude stocks rise",https://www.fxstreet.com/news/oil-price-modestly-down-as-us-dollar-strengthens-crude-oil-stocks-rise-202305181437,2
18/5/23,OilPrice.com: Global Oil Demand Hit A Record High In March,https://oilprice.com/Latest-Energy-News/World-News/Global-Oil-Demand-Hit-A-Record-High-In-March.html,9
18/5/23,The Globe and Mail: Oil prices settle down 1 per cent as strong U.S. data boosts dollar,https://www.theglobeandmail.com/business/industry-news/energy-and-resources/article-oil-prices-ease-as-all-eyes-on-us-debt-ceiling-talks/,3
18/5/23,Reuters: UPDATE 1-Saudi Arabia crude exports edge higher in March,https://www.reuters.com/article/saudi-crude-jodi-idUSL1N37F11T,6
4/4/23,Argus: Kuwait's naphtha exports at over 3-year high in March,https://www.argusmedia.com/en/news/2436107-kuwaits-naphtha-exports-at-over-3year-high-in-march,6
4/4/23,Bloomberg: Turkey Is Guzzling Russian Diesel That Europe Can’t Buy,https://www.bnnbloomberg.ca/turkey-is-guzzling-russian-diesel-that-europe-can-t-buy-1.1904317,3
16/3/23,Arab News: Saudi crude production rises as global trends hits 7-month low,https://www.arabnews.com/node/2269791/business-economy,4
16/3/23,OilPrice.com: Global Oil Production Dropped To A 7-Month Low In January,https://oilprice.com/Energy/Energy-General/Global-Oil-Production-Dropped-To-A-7-Month-Low-In-January.html,5
16/3/23,OilPrice.com: Saudi Arabia's Oil Exports Hit A 3-Month High In January,"https://oilprice.com/Latest-Energy-News/World-News/Saudi-Arabias-Oil-Exports-Hit-A-3-Month-High-In-January.html#:~:text=Saudi%20Arabia's%20crude%20oil%20exports,(JODI)%20showed%20on%20Thursday.",8
22/2/23,Market Watch: U.S. oil futures mark a 6th straight decline on fears of a recession,https://www.marketwatch.com/story/oil-loses-ground-as-investors-await-fed-minutes-a8b9a74e,2
21/2/23,The National: Oil prices fall on interest rate concerns and stronger dollar,https://www.thenationalnews.com/business/energy/2023/02/21/oil-prices-fall-on-interest-rate-concerns-and-stronger-dollar/,2
