Time,Saudi Arabia
Jan-20,7294
Feb-20,7278
Mar-20,7391
Apr-20,10237
May-20,6020
Jun-20,4981
Jul-20,5734
Aug-20,5968
Sep-20,6066
Oct-20,6159
Nov-20,6354
Dec-20,6495
Jan-21,6582
Feb-21,5625
Mar-21,5427
Apr-21,5408
May-21,5649
Jun-21,5965
Jul-21,6327
Aug-21,6450
Sep-21,6516
Oct-21,6833
Nov-21,6949
Dec-21,6937
Jan-22,6996
Feb-22,7307
Mar-22,7235
Apr-22,7382
May-22,7050
Jun-22,7196
Jul-22,7384
Aug-22,7601
Sep-22,7721
Oct-22,7773
Nov-22,7280
Dec-22,7437
Jan-23,7658
Feb-23,7455
Mar-23,7523
Apr-23,7316
May-23,6928
Jun-23,6804
Jul-23,6012
Aug-23,5584
